"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 02, 2019","58.281","58.370","59.199","57.835","14.92M","-0.15%"
"Nov 01, 2019","58.370","58.430","58.793","56.940","14.70M","-0.10%"
"Oct 31, 2019","58.429","57.986","59.501","57.229","10.57M","0.77%"
"Oct 30, 2019","57.983","59.797","60.916","57.142","11.38M","-3.03%"
"Oct 29, 2019","59.796","57.818","60.629","57.777","13.65M","3.41%"
"Oct 28, 2019","57.822","59.818","62.324","57.579","15.13M","-3.34%"
"Oct 27, 2019","59.821","56.751","62.446","55.720","16.10M","5.41%"
"Oct 26, 2019","56.752","56.949","59.383","54.383","21.51M","-0.35%"
"Oct 25, 2019","56.950","49.615","58.463","49.123","15.99M","14.78%"
"Oct 24, 2019","49.616","49.505","50.222","48.394","11.23M","0.32%"
"Oct 23, 2019","49.456","53.407","53.464","47.605","14.98M","-7.40%"
"Oct 22, 2019","53.407","54.747","55.185","53.160","8.45M","-2.49%"
"Oct 21, 2019","54.770","54.876","55.603","53.836","8.83M","-0.19%"
"Oct 20, 2019","54.876","53.739","55.439","52.674","9.07M","2.12%"
"Oct 19, 2019","53.737","53.217","54.084","52.687","8.67M","0.98%"
"Oct 18, 2019","53.217","54.948","54.995","52.364","9.88M","-3.15%"
"Oct 17, 2019","54.947","52.457","55.099","51.641","9.56M","4.74%"
"Oct 16, 2019","52.458","54.592","55.251","51.398","11.20M","-3.91%"
"Oct 15, 2019","54.592","56.812","57.312","53.991","10.17M","-3.91%"
"Oct 14, 2019","56.812","56.477","57.066","56.060","8.11M","0.59%"
"Oct 13, 2019","56.479","55.737","57.558","55.564","8.12M","1.33%"
"Oct 12, 2019","55.737","55.816","56.431","55.546","7.59M","-0.14%"
"Oct 11, 2019","55.815","57.453","58.222","55.444","9.70M","-2.85%"
"Oct 10, 2019","57.452","59.148","59.318","57.067","8.88M","-2.87%"
"Oct 09, 2019","59.147","56.986","59.838","56.622","10.52M","3.77%"
"Oct 08, 2019","56.998","57.482","58.406","56.583","9.25M","-0.84%"
"Oct 07, 2019","57.483","54.588","58.628","53.576","12.34M","5.31%"
"Oct 06, 2019","54.585","56.803","56.877","53.534","10.54M","-3.90%"
"Oct 05, 2019","56.798","56.422","57.197","55.761","8.32M","0.67%"
"Oct 04, 2019","56.422","56.442","57.401","55.477","10.08M","-0.03%"
"Oct 03, 2019","56.439","56.290","56.952","54.238","9.49M","0.25%"
"Oct 02, 2019","56.296","55.618","56.586","55.232","9.28M","1.22%"
"Oct 01, 2019","55.619","55.976","57.356","54.982","10.97M","-0.61%"
"Sep 30, 2019","55.961","53.911","56.108","52.827","11.58M","3.81%"
"Sep 29, 2019","53.908","55.460","55.629","52.592","10.06M","-2.80%"
"Sep 28, 2019","55.459","55.836","56.059","54.016","10.71M","-0.67%"
"Sep 27, 2019","55.835","55.232","56.405","53.204","10.31M","1.10%"
"Sep 26, 2019","55.227","57.419","57.463","51.163","14.37M","-3.79%"
"Sep 25, 2019","57.402","55.236","58.046","53.928","18.23M","3.94%"
"Sep 24, 2019","55.225","66.684","67.528","55.191","20.53M","-17.15%"
"Sep 23, 2019","66.657","72.213","74.079","63.271","12.07M","-7.70%"
"Sep 22, 2019","72.217","73.176","73.192","71.283","7.49M","-1.31%"
"Sep 21, 2019","73.178","75.093","75.519","72.327","7.69M","-2.56%"
"Sep 20, 2019","75.097","76.592","76.941","73.123","9.22M","-1.98%"
"Sep 19, 2019","76.616","77.735","77.777","72.849","11.23M","-1.42%"
"Sep 18, 2019","77.723","74.087","79.936","74.028","11.05M","4.92%"
"Sep 17, 2019","74.076","72.582","77.207","72.195","9.52M","2.06%"
"Sep 16, 2019","72.581","70.065","73.420","69.614","8.31M","3.60%"
"Sep 15, 2019","70.060","70.491","71.165","69.671","6.29M","-0.61%"
"Sep 14, 2019","70.491","68.967","71.060","68.333","7.01M","2.21%"
"Sep 13, 2019","68.969","69.217","69.568","67.706","6.62M","-0.36%"
"Sep 12, 2019","69.220","69.783","69.969","68.417","6.16M","-0.81%"
"Sep 11, 2019","69.784","70.785","71.445","68.442","8.08M","-1.41%"
